Level,Hierarchical structure,Code,Class title,Class definition
2,Class,14511,Nuclear fuel,"This class comprises nuclear fuel; fissionable materials that have been enriched to such a composition that, when placed in a nuclear reactor, will support a self-sustaining fission chain reaction, producing heat in a controlled manner for process use."
3,Subclass,145111,Nuclear fuel,"This subclass comprises nuclear fuel; fissionable materials that have been enriched to such a composition that, when placed in a nuclear reactor, will support a self-sustaining fission chain reaction, producing heat in a controlled manner for process use."
4,Detail,1451111,Nuclear fuel,"Fissionable materials that have been enriched to such a composition that, when placed in a nuclear reactor, will support a self-sustaining fission chain reaction, producing heat in a controlled manner for process use."
2,Class,14512,"Fuel wood, and solid fuel products n.e.c.","This class comprises fuel wood, fuel products of waste wood, peat briquettes and other peat products used as fuel, and other solid fuel products n.e.c."
3,Subclass,145121,Fuel wood,This subclass comprises fuel wood.
4,Detail,1451211,Fuel wood,Fuel wood.
3,Subclass,145122,"Solid fuel products, n.e.c.","This subclass comprises solid fuel products, n.e.c."
4,Detail,1451221,Fuel products of waste wood,Fuel products of waste wood.
4,Detail,1451222,Peat briquettes and other peat products used as fuel,Peat briquettes and other peat products used as fuel.
4,Detail,1451223,"Other solid fuel products, n.e.c.","Other solid fuel products, n.e.c."
2,Class,14513,Steam and heated or cooled air or water,This class comprises steam and heated or cooled air or water.
3,Subclass,145131,Steam,This subclass comprises steam.
4,Detail,1451311,Steam,Steam.
3,Subclass,145132,Heated or cooled air or water,This subclass comprises heated or cooled air or water.
4,Detail,1451321,Heated or cooled air or water,Heated or cooled air or water.
1,Group,146,Electricity,This group comprises all forms of produced electricity.
2,Class,14611,Electricity,This class comprises all forms of produced electricity.
3,Subclass,146111,Electricity,This subclass comprises all forms of produced electricity.
4,Detail,1461111,Thermal generation electricity (except nuclear and geothermal),"Electricity generated from thermal energy released by combustion of combustible fuels, except nuclear and geothermal."
4,Detail,1461112,Nuclear electricity,Electricity generated at an electric power plant whose turbines are driven by steam generated in a reactor by heat from the fission of nuclear fuel.
4,Detail,1461113,Hydro-electricity,Electric power generated from a plant in which turbine generators are driven by flowing water.
4,Detail,1461114,Tidal electricity,Electric power generated from a plant in which turbine generators are driven from tidal movements.
4,Detail,1461115,Wind electricity,Electric power generated from a plant in which the prime mover is a wind turbine. Electric power is generated by the conversion of wind power into mechanical energy.
4,Detail,1461116,Solar electricity,Electricity created using photovoltaic (PV) technology which converts sunlight into electricity.
4,Detail,1461117,Wave electricity,Electricity generated from mechanical energy derived from wave motion.
4,Detail,1461118,Geothermal electricity,"Electricity generated from heat emitted from within the earth's crust, usually in the form of hot water or steam."
4,Detail,1461119,Other forms of electricity,Electricity generated from other non-combustible methods.
1,Group,147,Natural gas distribution,This group comprises natural gas distribution services through mains.
2,Class,14711,Natural gas distribution,This class comprises natural gas distribution services through mains.
3,Subclass,147111,"Natural gas distribution, directly to systems gas consumers",This subclass comprises natural gas deliveries to systems gas consumers.
4,Detail,1471111,Natural gas deliveries to industrial systems gas consumers,Natural gas delivered to industrial systems gas consumers.
4,Detail,1471112,Natural gas deliveries to commercial and institutional systems gas consumers,Natural gas delivered to commercial and institutional systems gas consumers.
4,Detail,1471113,Natural gas deliveries to residential systems gas consumers,Natural gas delivered to residential systems gas consumers.
3,Subclass,147112,"Natural gas distribution, directly to consumers enrolled with third party marketers",This subclass comprises natural gas deliveries to consumers enrolled with third party marketers.
4,Detail,1471121,Natural gas deliveries to industrial consumers enrolled with third party marketers,Natural gas delivered to industrial consumers enrolled with third party marketers.
